candidate_id,age_group,years_experience,education_level,current_location,willing_to_relocate,preferred_work_model
CAN01117,40-49,5,Master,Hamburg,False,Remote
CAN01118,30-39,10,Vocational training,Berlin,False,Hybrid
CAN01119,40-49,10,Bachelor,Berlin,True,Remote
CAN01120,30-39,0,Vocational training,Cologne,False,Hybrid
CAN01121,40-49,4,Bachelor,Hamburg,True,No preference
CAN01122,40-49,3,Vocational training,Hamburg,False,Remote
CAN01123,30-39,8,Master,Frankfurt,False,Hybrid
CAN01124,40-49,4,Vocational training,Frankfurt,False,On-site
CAN01125,40-49,1,Vocational training,Frankfurt,True,Remote
CAN01126,30-39,5,Vocational training,Berlin,True,Hybrid
CAN01127,30-39,4,Bachelor,Frankfurt,False,Remote
CAN01128,30-39,7,Other,Munich,True,Remote
CAN01129,30-39,5,Master,Frankfurt,False,Hybrid
CAN01130,20-29,2,Bachelor,Berlin,False,No preference
CAN01131,30-39,1,Vocational training,Other Germany,False,Hybrid
CAN01132,50+,13,Vocational training,Frankfurt,False,Hybrid
CAN01133,40-49,4,Bachelor,Other Germany,True,Hybrid
CAN01134,50+,17,Vocational training,Berlin,False,Remote
CAN01135,50+,25,Master,Hamburg,True,No preference
CAN01136,30-39,9,Master,Berlin,False,Hybrid
CAN01137,20-29,4,Vocational training,Other Germany,True,On-site
CAN01138,40-49,7,Vocational training,Berlin,False,On-site
CAN01139,40-49,3,Bachelor,Berlin,False,On-site
CAN01140,20-29,3,Vocational training,Frankfurt,True,No preference
CAN01141,30-39,9,Bachelor,Berlin,True,Hybrid
CAN01142,40-49,5,Bachelor,Frankfurt,False,Remote
CAN01143,50+,22,Bachelor,Frankfurt,False,Hybrid
CAN01144,20-29,3,Vocational training,Frankfurt,False,Remote
CAN01145,30-39,3,Bachelor,Berlin,False,Hybrid
CAN01146,20-29,8,Master,Other Germany,True,No preference
CAN01147,30-39,6,Vocational training,Berlin,False,Hybrid
CAN01148,20-29,2,Bachelor,Other Germany,False,Remote
CAN01149,40-49,0,Vocational training,Frankfurt,False,On-site
CAN01150,30-39,7,Vocational training,Frankfurt,True,On-site
CAN01151,50+,13,Master,Berlin,True,No preference
CAN01152,50+,14,Vocational training,Cologne,False,Remote
CAN01153,50+,11,Master,Cologne,False,Remote
CAN01154,30-39,10,Bachelor,Hamburg,True,Hybrid
CAN01155,40-49,11,Bachelor,Munich,False,Hybrid
CAN01156,30-39,3,Master,Hamburg,False,Remote
CAN01157,30-39,9,Bachelor,Munich,False,Hybrid
CAN01158,20-29,3,Vocational training,Cologne,True,Hybrid
CAN01159,40-49,7,Vocational training,Munich,True,No preference
CAN01160,30-39,9,Vocational training,Cologne,False,Hybrid
CAN01161,50+,9,Bachelor,Other Germany,False,Hybrid
CAN01162,40-49,5,Master,Other Germany,False,No preference
CAN01163,30-39,5,Other,Cologne,False,Hybrid
CAN01164,40-49,23,Bachelor,Berlin,False,Remote
CAN01165,40-49,2,Master,Berlin,False,Hybrid
CAN01166,50+,12,Master,Frankfurt,False,Remote
CAN01167,30-39,5,Bachelor,Other Germany,False,Remote
CAN01168,40-49,5,Vocational training,Cologne,False,No preference
CAN01169,40-49,1,Master,Frankfurt,False,On-site
CAN01170,40-49,5,Master,Frankfurt,False,Hybrid
CAN01171,30-39,7,Vocational training,Other Germany,False,Hybrid
CAN01172,40-49,1,Bachelor,Cologne,True,Hybrid
CAN01173,20-29,3,Bachelor,Frankfurt,False,On-site
CAN01174,40-49,5,Vocational training,Berlin,False,On-site
CAN01175,20-29,4,Other,Outside Germany,False,Hybrid
CAN01176,40-49,9,Master,Other Germany,False,No preference
CAN01177,40-49,2,Vocational training,Berlin,False,No preference
CAN01178,40-49,10,Vocational training,Cologne,False,Remote
CAN01179,30-39,1,Other,Berlin,True,On-site
CAN01180,20-29,2,Master,Other Germany,False,No preference
CAN01181,20-29,3,Vocational training,Cologne,False,Hybrid
CAN01182,20-29,1,Bachelor,Cologne,True,On-site
CAN01183,40-49,6,Master,Cologne,False,On-site
CAN01184,50+,8,Vocational training,Frankfurt,False,Remote
CAN01185,40-49,8,Master,Cologne,True,No preference
CAN01186,40-49,6,Doctorate,Cologne,False,Hybrid
CAN01187,20-29,4,Master,Berlin,False,On-site
CAN01188,40-49,16,Vocational training,Hamburg,False,Remote
CAN01189,40-49,3,Vocational training,Berlin,False,Hybrid
CAN01190,30-39,0,Vocational training,Other Germany,False,Hybrid
CAN01191,50+,12,Bachelor,Frankfurt,False,Hybrid
CAN01192,20-29,5,Bachelor,Munich,True,Remote
CAN01193,30-39,5,Bachelor,Berlin,True,Hybrid
CAN01194,30-39,12,Vocational training,Frankfurt,False,Hybrid
CAN01195,30-39,11,Other,Other Germany,False,Remote
CAN01196,20-29,0,Vocational training,Frankfurt,False,Hybrid
CAN01197,40-49,11,Bachelor,Cologne,False,No preference
CAN01198,50+,8,Doctorate,Cologne,False,Hybrid
CAN01199,30-39,5,Bachelor,Cologne,False,Remote
CAN01200,40-49,13,Vocational training,Berlin,False,Remote
CAN01201,20-29,5,Bachelor,Berlin,False,Remote
CAN01202,40-49,10,Doctorate,Cologne,False,On-site
CAN01203,30-39,4,Vocational training,Berlin,False,On-site
CAN01204,40-49,17,Bachelor,Berlin,False,No preference
CAN01205,40-49,8,Bachelor,Munich,False,Hybrid
CAN01206,40-49,4,Other,Other Germany,True,Remote
CAN01207,40-49,6,Master,Other Germany,False,Hybrid
CAN01208,30-39,13,Bachelor,Munich,False,On-site
CAN01209,50+,7,Vocational training,Berlin,False,Hybrid
CAN01210,40-49,5,Vocational training,Other Germany,False,Remote
CAN01211,30-39,11,Master,,True,Remote
CAN01212,20-29,2,Bachelor,Berlin,True,Hybrid
CAN01213,20-29,1,Doctorate,Frankfurt,True,On-site
CAN01214,20-29,3,Vocational training,Other Germany,True,Hybrid
CAN01215,50+,12,Bachelor,Other Germany,False,Hybrid
CAN01216,20-29,3,Bachelor,Other Germany,False,Hybrid
CAN01217,40-49,6,Bachelor,Other Germany,False,On-site
CAN01218,40-49,6,Vocational training,Frankfurt,False,Hybrid
CAN01219,50+,11,Master,Berlin,True,Hybrid
CAN01220,30-39,6,Vocational training,Frankfurt,True,Hybrid
CAN01221,50+,25,Bachelor,Other Germany,False,Hybrid
CAN01222,20-29,3,Vocational training,Frankfurt,False,Remote
CAN01223,30-39,9,Master,Outside Germany,False,Hybrid
CAN01224,50+,15,Vocational training,Outside Germany,False,Hybrid
CAN01225,30-39,13,Vocational training,Frankfurt,False,Hybrid
CAN01226,30-39,14,Bachelor,,False,No preference
CAN01227,40-49,7,Other,Other Germany,False,On-site
CAN01228,40-49,4,Vocational training,Munich,False,Remote
CAN01229,20-29,2,Vocational training,Other Germany,False,Hybrid
CAN01230,30-39,3,Vocational training,Other Germany,False,No preference
CAN01231,30-39,6,Vocational training,Hamburg,False,Remote
CAN01232,40-49,22,Bachelor,Berlin,False,Hybrid
CAN01233,30-39,1,Doctorate,Munich,True,Hybrid
CAN01234,20-29,5,Master,Frankfurt,True,Hybrid
CAN01235,40-49,10,Vocational training,Munich,False,Hybrid
CAN01236,40-49,5,Bachelor,Munich,True,No preference
CAN01237,40-49,10,Bachelor,Berlin,False,Remote
CAN01238,50+,14,Master,Outside Germany,False,On-site
CAN01239,30-39,16,Vocational training,Cologne,False,Hybrid
CAN01240,30-39,1,Master,Frankfurt,False,Hybrid
CAN01241,30-39,7,Bachelor,Frankfurt,False,Hybrid
CAN01242,20-29,1,Master,Cologne,False,Remote
CAN01243,30-39,2,Bachelor,Other Germany,False,Remote
CAN01244,40-49,10,Vocational training,Frankfurt,True,Hybrid
CAN01245,30-39,5,Master,Cologne,True,Hybrid
CAN01246,40-49,14,Vocational training,Hamburg,False,Hybrid
CAN01247,50+,20,Bachelor,Frankfurt,False,Hybrid
CAN01248,50+,9,Master,Hamburg,False,Remote
CAN01249,20-29,5,Vocational training,Other Germany,False,Hybrid
CAN01250,40-49,13,Bachelor,Other Germany,True,Hybrid
CAN01251,20-29,7,Bachelor,Frankfurt,False,No preference
CAN01252,40-49,5,Master,Frankfurt,True,Remote
CAN01253,30-39,4,Master,Frankfurt,False,Remote
CAN01254,40-49,5,Vocational training,Munich,False,Hybrid
CAN01255,30-39,1,Doctorate,Other Germany,False,On-site
CAN01256,50+,9,Other,Berlin,False,On-site
CAN01257,30-39,9,Bachelor,Berlin,True,On-site
CAN01258,30-39,6,Bachelor,Frankfurt,False,Hybrid
CAN01259,20-29,5,Vocational training,Frankfurt,True,No preference
CAN01260,30-39,2,Vocational training,Hamburg,False,Hybrid
CAN01261,30-39,0,Vocational training,Berlin,False,Hybrid
CAN01262,50+,25,Bachelor,Cologne,False,Remote
CAN01263,40-49,1,Bachelor,Berlin,False,Remote
CAN01264,40-49,6,Vocational training,Berlin,True,Hybrid
CAN01265,30-39,5,Doctorate,Munich,True,Hybrid
CAN01266,30-39,4,Vocational training,Outside Germany,True,Hybrid
CAN01267,30-39,4,Bachelor,Berlin,False,Hybrid
CAN01268,30-39,4,Vocational training,Other Germany,True,Remote
CAN01269,30-39,4,Bachelor,Frankfurt,False,Remote
CAN01270,30-39,5,Vocational training,Munich,True,No preference
CAN01271,30-39,4,Vocational training,Munich,False,Hybrid
CAN01272,20-29,6,Vocational training,Hamburg,False,On-site
CAN01273,30-39,10,Bachelor,Other Germany,False,Hybrid
CAN01274,40-49,6,Master,Frankfurt,False,On-site
CAN01275,30-39,5,Vocational training,Hamburg,False,Remote
CAN01276,30-39,7,Vocational training,Frankfurt,True,Remote
CAN01277,20-29,3,Bachelor,Hamburg,False,Hybrid
CAN01278,20-29,6,Vocational training,Hamburg,False,No preference
CAN01279,40-49,3,Vocational training,Other Germany,False,Hybrid
CAN01280,40-49,5,Bachelor,Other Germany,False,Hybrid
CAN01281,30-39,3,Master,Hamburg,True,Hybrid
CAN01282,30-39,8,Other,Other Germany,False,Hybrid
CAN01283,20-29,3,Master,Frankfurt,True,Hybrid
CAN01284,40-49,12,Master,Berlin,True,Hybrid
CAN01285,30-39,5,Vocational training,Other Germany,False,Hybrid
CAN01286,30-39,3,Master,Cologne,False,Hybrid
CAN01287,30-39,5,Vocational training,Cologne,False,Hybrid
CAN01288,20-29,5,Bachelor,Munich,False,No preference
CAN01289,50+,11,Vocational training,Other Germany,False,Hybrid
CAN01290,40-49,12,Vocational training,Frankfurt,False,Hybrid
CAN01291,30-39,4,Bachelor,Munich,True,Hybrid
CAN01292,40-49,3,Bachelor,Cologne,False,Hybrid
CAN01293,30-39,0,Master,Munich,True,On-site
CAN01294,30-39,5,Vocational training,Other Germany,True,Remote
CAN01295,30-39,5,Master,Other Germany,False,Hybrid
CAN01296,40-49,6,Vocational training,Other Germany,False,Hybrid
CAN01297,20-29,2,Vocational training,Frankfurt,False,Hybrid
CAN01298,30-39,10,Vocational training,Frankfurt,False,Remote
CAN01299,40-49,11,Vocational training,Outside Germany,False,Remote
CAN01300,40-49,12,Vocational training,Hamburg,False,Hybrid
CAN01301,40-49,3,Bachelor,Other Germany,False,No preference
CAN01302,40-49,14,Bachelor,Frankfurt,False,Hybrid
CAN01303,40-49,6,Master,Frankfurt,False,Remote
CAN01304,20-29,3,Vocational training,Frankfurt,True,Hybrid
CAN01305,20-29,2,Bachelor,Frankfurt,False,On-site
CAN01306,20-29,5,Bachelor,Frankfurt,False,Hybrid
CAN01307,20-29,4,Master,Other Germany,False,No preference
CAN01308,30-39,7,Vocational training,Berlin,True,Hybrid
CAN01309,30-39,8,Master,Berlin,False,Hybrid
CAN01310,30-39,11,Vocational training,Munich,False,No preference
CAN01311,40-49,14,Master,Cologne,True,No preference
CAN01312,30-39,5,Master,Other Germany,False,Hybrid
CAN01313,20-29,2,Bachelor,Outside Germany,False,Remote
CAN01314,40-49,3,Vocational training,Munich,False,Hybrid
CAN01315,30-39,15,Bachelor,Hamburg,False,Remote
CAN01316,30-39,3,Vocational training,Berlin,False,Remote
CAN01317,30-39,4,Master,Hamburg,True,Remote
CAN01318,50+,10,Bachelor,Frankfurt,False,On-site
CAN01319,40-49,2,Other,Frankfurt,False,Hybrid
CAN01320,40-49,2,Doctorate,Munich,True,Hybrid
CAN01321,30-39,5,Bachelor,Other Germany,False,Remote
CAN01322,40-49,14,Other,Other Germany,False,Remote
CAN01323,40-49,4,Bachelor,Berlin,False,Hybrid
CAN01324,40-49,15,Master,Frankfurt,False,Hybrid
CAN01325,30-39,8,Vocational training,Other Germany,False,Hybrid
CAN01326,30-39,9,Bachelor,Frankfurt,True,Hybrid
CAN01327,20-29,10,Bachelor,Other Germany,True,Hybrid
CAN01328,30-39,8,Bachelor,Munich,False,Hybrid
CAN01329,30-39,7,Bachelor,Frankfurt,False,Remote
CAN01330,40-49,6,Bachelor,Berlin,True,Remote
CAN01331,30-39,8,Vocational training,Other Germany,False,Hybrid
CAN01332,40-49,1,Bachelor,Frankfurt,True,Hybrid
CAN01333,20-29,5,Vocational training,Other Germany,False,Hybrid
CAN01334,40-49,3,Bachelor,Other Germany,False,Hybrid
CAN01335,40-49,18,Master,Munich,True,Remote
CAN01336,40-49,8,Vocational training,Berlin,False,Hybrid
CAN01337,40-49,4,Bachelor,Frankfurt,True,On-site
CAN01338,20-29,4,Vocational training,Cologne,False,Hybrid
CAN01339,40-49,5,Bachelor,Other Germany,False,Hybrid
CAN01340,40-49,5,Master,Frankfurt,True,Hybrid
CAN01341,20-29,6,Other,Other Germany,False,Remote
CAN01342,30-39,0,Master,Other Germany,False,Remote
CAN01343,20-29,8,Master,Berlin,False,No preference
CAN01344,30-39,5,Vocational training,Other Germany,False,On-site
CAN01345,40-49,7,Vocational training,Other Germany,False,Remote
CAN01346,40-49,15,Other,Cologne,True,Remote
CAN01347,50+,10,Vocational training,Berlin,True,Hybrid
CAN01348,40-49,8,Vocational training,Berlin,False,Remote
CAN01349,20-29,1,Bachelor,Cologne,True,On-site
CAN01350,50+,7,Bachelor,Other Germany,True,Hybrid
CAN01351,30-39,6,Master,Hamburg,True,Remote
CAN01352,40-49,5,Master,Hamburg,True,Hybrid
CAN01353,40-49,6,Bachelor,Outside Germany,False,Remote
CAN01354,30-39,3,Master,Other Germany,False,Hybrid
CAN01355,30-39,4,Bachelor,Outside Germany,False,Hybrid
CAN01356,50+,13,Bachelor,Frankfurt,True,Hybrid
CAN01357,30-39,5,Master,Munich,True,No preference
CAN01358,40-49,3,Bachelor,Frankfurt,False,Remote
CAN01359,30-39,4,Vocational training,Other Germany,False,On-site
CAN01360,40-49,1,Vocational training,Hamburg,True,Remote
CAN01361,40-49,3,Vocational training,Munich,False,No preference
CAN01362,50+,16,Vocational training,Berlin,False,Remote
CAN01363,20-29,5,Master,Frankfurt,False,Hybrid
CAN01364,30-39,2,Master,Other Germany,True,Remote
CAN01365,30-39,7,Master,Other Germany,True,Hybrid
CAN01366,30-39,1,Bachelor,Hamburg,False,Remote
CAN01367,50+,14,Vocational training,Hamburg,False,On-site
CAN01368,50+,16,Vocational training,Other Germany,False,Remote
CAN01369,40-49,3,Bachelor,Other Germany,False,On-site
CAN01370,30-39,4,Vocational training,Berlin,False,Hybrid
CAN01371,40-49,6,Vocational training,Other Germany,True,On-site
CAN01372,40-49,4,Master,Frankfurt,True,Hybrid
CAN01373,30-39,2,Vocational training,Frankfurt,False,Hybrid
CAN01374,30-39,6,Vocational training,Outside Germany,False,On-site
CAN01375,30-39,13,Vocational training,Cologne,False,Remote
CAN01376,30-39,15,Master,Other Germany,False,Hybrid
CAN01377,40-49,2,Bachelor,Berlin,True,Hybrid
CAN01378,40-49,4,Bachelor,Berlin,False,Hybrid
CAN01379,30-39,6,Vocational training,Hamburg,False,Remote
CAN01380,40-49,5,Master,Munich,False,Remote
CAN01381,30-39,12,Vocational training,Frankfurt,True,Hybrid
CAN01382,30-39,4,Bachelor,Hamburg,False,Hybrid
CAN01383,30-39,5,Vocational training,Berlin,False,Remote
CAN01384,40-49,3,Bachelor,Frankfurt,False,Hybrid
CAN01385,30-39,13,Vocational training,Frankfurt,True,Remote
CAN01386,30-39,2,Vocational training,Other Germany,False,Hybrid
CAN01387,30-39,7,Bachelor,Munich,False,Remote
CAN01388,20-29,3,Bachelor,Frankfurt,False,Remote
CAN01389,40-49,5,Vocational training,Frankfurt,False,Hybrid
CAN01390,50+,8,Vocational training,Other Germany,True,Remote
CAN01391,50+,11,Bachelor,Other Germany,False,Remote
CAN01392,40-49,7,Master,Hamburg,True,Remote
CAN01393,30-39,3,Master,Munich,False,Remote
CAN01394,50+,11,Master,Other Germany,False,Remote
CAN01395,30-39,6,Master,Other Germany,False,No preference
CAN01396,30-39,2,Other,Berlin,False,Remote
CAN01397,30-39,4,Bachelor,Munich,False,Hybrid
CAN01398,20-29,0,Vocational training,Frankfurt,False,Hybrid
CAN01399,50+,17,Vocational training,Cologne,True,Remote
CAN01400,20-29,1,Doctorate,Other Germany,False,Remote
CAN01401,30-39,3,Doctorate,Other Germany,False,On-site
CAN01402,40-49,9,Master,Cologne,True,No preference
CAN01403,30-39,1,Master,Munich,True,No preference
CAN01404,30-39,6,Master,Hamburg,True,Hybrid
CAN01405,30-39,7,Bachelor,Munich,True,No preference
CAN01406,40-49,10,Other,Hamburg,True,Hybrid
CAN01407,20-29,0,Vocational training,Frankfurt,False,Remote
CAN01408,30-39,2,Vocational training,Berlin,True,Remote
CAN01409,40-49,9,Bachelor,Other Germany,False,No preference
CAN01410,30-39,3,Vocational training,Cologne,False,Hybrid
CAN01411,40-49,4,Master,Berlin,False,Remote
CAN01412,40-49,18,Vocational training,Cologne,True,Remote
CAN01413,30-39,1,Master,,False,Hybrid
CAN01414,30-39,5,Master,Frankfurt,False,No preference
CAN01415,40-49,8,Bachelor,Other Germany,False,Hybrid
CAN01416,40-49,4,Bachelor,Berlin,False,Remote
CAN01417,40-49,14,Bachelor,Munich,False,Hybrid
CAN01418,30-39,5,Bachelor,Berlin,False,No preference
CAN01419,30-39,6,Doctorate,Munich,False,Hybrid
CAN01420,40-49,2,Bachelor,Other Germany,False,On-site
CAN01421,30-39,10,Vocational training,Frankfurt,True,On-site
CAN01422,30-39,7,Bachelor,Frankfurt,False,Hybrid
CAN01423,50+,11,Bachelor,Hamburg,False,Remote
CAN01424,20-29,2,Vocational training,Other Germany,False,Remote
CAN01425,50+,18,Vocational training,Berlin,False,Remote
CAN01426,50+,18,Bachelor,Other Germany,True,On-site
CAN01427,30-39,5,Master,Other Germany,True,Hybrid
CAN01428,30-39,2,Vocational training,Berlin,True,Remote
CAN01429,40-49,19,Master,Hamburg,True,Hybrid
CAN01430,40-49,2,Vocational training,Other Germany,True,Hybrid
CAN01431,40-49,17,Bachelor,Cologne,False,On-site
CAN01432,50+,9,Doctorate,Frankfurt,False,Remote
CAN01433,30-39,1,Vocational training,Frankfurt,False,Hybrid
CAN01434,30-39,9,Bachelor,Other Germany,False,On-site
CAN01435,40-49,6,Vocational training,Other Germany,False,No preference
CAN01436,30-39,3,Master,Frankfurt,False,Hybrid
CAN01437,40-49,6,Other,Frankfurt,False,Hybrid
CAN01438,20-29,3,Vocational training,Other Germany,True,On-site
CAN01439,20-29,1,Other,Munich,False,Hybrid
CAN01440,20-29,3,Vocational training,Hamburg,True,On-site
CAN01441,30-39,7,Master,Berlin,True,Remote
CAN01442,40-49,4,Bachelor,Cologne,True,On-site
CAN01443,40-49,8,Bachelor,Other Germany,True,Remote
CAN01444,20-29,1,Master,Berlin,False,Remote
CAN01445,40-49,4,Vocational training,Berlin,True,Remote
CAN01446,30-39,9,Bachelor,Berlin,False,Remote
CAN01447,30-39,5,Vocational training,Hamburg,False,No preference
CAN01448,30-39,6,Bachelor,Berlin,True,Hybrid
CAN01449,20-29,5,Master,Frankfurt,False,On-site
CAN01450,50+,21,Other,Berlin,True,On-site
CAN01451,50+,12,Bachelor,Berlin,False,Hybrid
CAN01452,30-39,6,Bachelor,Frankfurt,True,Hybrid
CAN01453,20-29,5,Vocational training,Hamburg,False,No preference
CAN01454,50+,19,Bachelor,Frankfurt,True,Hybrid
CAN01455,40-49,20,Bachelor,Other Germany,True,On-site
CAN01456,50+,14,Vocational training,Hamburg,False,On-site
CAN01457,40-49,6,Bachelor,Munich,True,Hybrid
CAN01458,40-49,5,Master,Berlin,True,On-site
CAN01459,30-39,10,Bachelor,Frankfurt,False,Hybrid
CAN01460,20-29,5,Bachelor,Hamburg,False,Remote
CAN01461,40-49,1,Bachelor,Berlin,False,Hybrid
CAN01462,30-39,4,Master,Other Germany,False,Hybrid
CAN01463,30-39,1,Master,Cologne,False,Remote
CAN01464,40-49,6,Other,Cologne,False,Remote
CAN01465,40-49,8,Master,Frankfurt,False,On-site
CAN01466,50+,8,Bachelor,Munich,False,Remote
CAN01467,40-49,3,Vocational training,Other Germany,False,Remote
CAN01468,50+,13,Bachelor,Hamburg,True,No preference
CAN01469,40-49,4,Vocational training,Berlin,True,Hybrid
CAN01470,40-49,2,Master,Munich,False,No preference
CAN01471,30-39,9,Vocational training,Frankfurt,True,Remote
CAN01472,40-49,6,Master,Frankfurt,False,Hybrid
CAN01473,30-39,2,Bachelor,Other Germany,False,Remote
CAN01474,40-49,8,Other,Cologne,False,Hybrid
CAN01475,30-39,11,Vocational training,Other Germany,True,Hybrid
CAN01476,30-39,10,Other,Outside Germany,False,Remote
CAN01477,40-49,9,Vocational training,Munich,False,Hybrid
CAN01478,20-29,1,Vocational training,Frankfurt,True,Hybrid
CAN01479,30-39,14,Bachelor,Other Germany,False,Hybrid
CAN01480,30-39,11,Master,Other Germany,False,Hybrid
CAN01481,40-49,1,Other,Berlin,False,Hybrid
CAN01482,30-39,5,Vocational training,Frankfurt,False,Hybrid
CAN01483,30-39,1,Bachelor,Munich,False,Hybrid
CAN01484,30-39,5,Master,Frankfurt,False,Hybrid
CAN01485,20-29,3,Vocational training,Berlin,False,Hybrid
CAN01486,40-49,7,Bachelor,Other Germany,False,No preference
CAN01487,20-29,6,Vocational training,Hamburg,False,Remote
CAN01488,50+,8,Master,Outside Germany,False,Hybrid
CAN01489,30-39,7,Bachelor,Frankfurt,True,No preference
CAN01490,30-39,16,Bachelor,Other Germany,False,On-site
CAN01491,30-39,5,Vocational training,Munich,False,Remote
CAN01492,40-49,11,Doctorate,Frankfurt,False,Remote
CAN01493,30-39,1,Bachelor,Munich,False,Hybrid
CAN01494,40-49,7,Master,Berlin,False,No preference
CAN01495,30-39,7,Bachelor,Frankfurt,True,Hybrid
CAN01496,40-49,2,Master,Frankfurt,False,On-site
CAN01497,40-49,6,Bachelor,Other Germany,True,Remote
CAN01498,30-39,15,Bachelor,Frankfurt,True,Hybrid
CAN01499,40-49,3,Vocational training,Other Germany,False,On-site
CAN01500,40-49,9,Vocational training,Other Germany,False,Hybrid
CAN01501,30-39,4,Master,Hamburg,True,Remote
CAN01502,20-29,3,Vocational training,Hamburg,True,Hybrid
CAN01503,30-39,8,Vocational training,Frankfurt,False,On-site
CAN01504,20-29,3,Bachelor,Berlin,True,Hybrid
CAN01505,40-49,7,Vocational training,Other Germany,False,Remote
CAN01506,40-49,12,Bachelor,Cologne,True,Remote
CAN01507,30-39,3,Bachelor,Berlin,False,Hybrid
CAN01508,20-29,6,Vocational training,Munich,True,Hybrid
CAN01509,40-49,3,Bachelor,Hamburg,True,Hybrid
CAN01510,40-49,6,Vocational training,Munich,True,Hybrid
CAN01511,50+,15,Vocational training,Other Germany,False,Hybrid
CAN01512,20-29,2,Vocational training,Outside Germany,False,Remote
CAN01513,40-49,2,Vocational training,Berlin,True,Hybrid
CAN01514,20-29,2,Master,Cologne,False,Hybrid
CAN01515,20-29,2,Vocational training,Frankfurt,False,Remote
CAN01516,40-49,10,Master,,False,Hybrid
CAN01517,40-49,6,Bachelor,Frankfurt,False,Hybrid
CAN01518,40-49,15,Master,Berlin,False,No preference
CAN01519,30-39,2,Bachelor,Other Germany,False,Hybrid
CAN01520,30-39,13,Bachelor,Frankfurt,False,Hybrid
CAN01521,40-49,6,Vocational training,Munich,False,Remote
CAN01522,30-39,7,Master,Munich,False,On-site
CAN01523,30-39,6,Master,Other Germany,False,Remote
CAN01524,30-39,11,Bachelor,Berlin,True,Hybrid
CAN01525,50+,18,Bachelor,Cologne,False,Hybrid
CAN01526,40-49,8,Bachelor,Munich,False,Remote
CAN01527,50+,8,Bachelor,Hamburg,False,Hybrid
CAN01528,40-49,10,Vocational training,Outside Germany,False,Remote
CAN01529,30-39,3,Bachelor,Berlin,False,Hybrid
CAN01530,20-29,5,Master,Frankfurt,True,Hybrid
CAN01531,30-39,8,Master,Hamburg,False,Remote
CAN01532,30-39,3,Bachelor,Hamburg,False,Remote
CAN01533,40-49,2,Master,Berlin,True,On-site
CAN01534,50+,13,Vocational training,Berlin,True,Hybrid
CAN01535,50+,21,Vocational training,Cologne,True,Hybrid
CAN01536,30-39,12,Vocational training,Cologne,True,Remote
CAN01537,20-29,2,Master,Other Germany,True,Remote
CAN01538,30-39,12,Master,,False,Remote
CAN01539,30-39,2,Bachelor,Hamburg,False,Remote
CAN01540,30-39,14,Doctorate,Frankfurt,False,No preference
CAN01541,20-29,4,Vocational training,Berlin,True,Hybrid
CAN01542,40-49,1,Other,Frankfurt,False,Hybrid
CAN01543,40-49,18,Vocational training,Berlin,False,Remote
CAN01544,40-49,9,Bachelor,Other Germany,False,Hybrid
CAN01545,30-39,3,Bachelor,Other Germany,False,Remote
CAN01546,40-49,14,Vocational training,Berlin,False,Hybrid
CAN01547,40-49,0,Bachelor,Berlin,True,On-site
CAN01548,50+,25,Bachelor,Frankfurt,False,On-site
CAN01549,50+,7,Bachelor,Other Germany,False,Hybrid
CAN01550,40-49,18,Vocational training,Munich,True,Hybrid
CAN01551,30-39,17,Master,Hamburg,False,No preference
CAN01552,40-49,6,Vocational training,Cologne,False,Hybrid
CAN01553,40-49,7,Master,Munich,False,On-site
CAN01554,30-39,3,Vocational training,Cologne,False,Hybrid
CAN01555,30-39,4,Vocational training,Other Germany,False,Hybrid
CAN01556,20-29,2,Bachelor,Other Germany,False,Hybrid
CAN01557,40-49,6,Bachelor,Other Germany,True,Hybrid
CAN01558,50+,11,Master,Cologne,False,Hybrid
CAN01559,20-29,2,Master,Other Germany,False,On-site
CAN01560,40-49,5,Master,Other Germany,True,Remote
CAN01561,50+,18,Vocational training,Berlin,False,No preference
CAN01562,50+,13,Bachelor,Other Germany,False,Remote
CAN01563,40-49,5,Master,Outside Germany,False,Hybrid
CAN01564,50+,10,Bachelor,Munich,True,On-site
CAN01565,40-49,7,Master,Munich,True,On-site
CAN01566,40-49,10,Other,Hamburg,False,Hybrid
CAN01567,20-29,6,Vocational training,Hamburg,True,Hybrid
CAN01568,30-39,14,Bachelor,Berlin,True,Hybrid
CAN01569,30-39,10,Other,Hamburg,True,On-site
CAN01570,50+,12,Other,Cologne,False,Hybrid
CAN01571,30-39,8,Master,Hamburg,False,Hybrid
CAN01572,20-29,7,Other,Frankfurt,False,Hybrid
CAN01573,20-29,5,Vocational training,Hamburg,True,Hybrid
CAN01574,30-39,4,Bachelor,Munich,False,Hybrid
CAN01575,30-39,6,Vocational training,Other Germany,True,Remote
CAN01576,40-49,2,Vocational training,Frankfurt,True,On-site
CAN01577,30-39,2,Other,Frankfurt,False,No preference
CAN01578,30-39,4,Master,Berlin,False,Hybrid
CAN01579,30-39,5,Bachelor,Frankfurt,False,Hybrid
CAN01580,30-39,3,Master,Other Germany,True,Hybrid
CAN01581,30-39,17,Master,Frankfurt,False,Hybrid
CAN01582,40-49,9,Master,Hamburg,False,Remote
CAN01583,20-29,9,Vocational training,Munich,False,Hybrid
CAN01584,50+,7,Master,Cologne,False,Hybrid
CAN01585,30-39,9,Vocational training,Cologne,False,No preference
CAN01586,50+,24,Vocational training,Hamburg,False,On-site
CAN01587,30-39,3,Vocational training,Frankfurt,True,Remote
