interview_id,application_id,interview_round,scheduled_date,completed_date,interview_format,interviewer_role,score,recommendation,no_show
INT000865,APP003232,1,2025-12-23,2025-12-23,On-site,Hiring Manager,3.5,Proceed,False
INT000866,APP003233,1,2024-12-19,2024-12-19,Video,Hiring Manager,4.2,Proceed,False
INT000867,APP003234,1,2025-09-04,2025-09-04,On-site,Hiring Manager,3.4,Proceed,False
INT000868,APP003237,1,2024-10-10,2024-10-10,Video,Hiring Manager,1.9,Reject,False
INT000869,APP003237,2,2024-10-17,2024-10-17,On-site,Panel,2.8,Hold,False
INT000870,APP003242,1,2024-02-02,2024-02-02,Video,Hiring Manager,1.9,Reject,False
INT000871,APP003250,1,2024-05-14,2024-05-14,On-site,Hiring Manager,4.6,Proceed,False
INT000872,APP003250,2,2024-05-24,2024-05-24,Video,Panel,4.1,Proceed,False
INT000873,APP003255,1,2024-09-07,2024-09-07,On-site,Hiring Manager,2.5,Reject,False
INT000874,APP003257,1,2024-08-02,2024-08-02,Video,Hiring Manager,3.4,Proceed,False
INT000875,APP003257,2,2024-08-10,2024-08-10,On-site,Panel,3.2,Hold,False
INT000876,APP003259,1,2025-11-22,2025-11-22,On-site,Hiring Manager,4.1,Proceed,False
INT000877,APP003260,1,2025-05-27,2025-05-27,On-site,Hiring Manager,3.4,Proceed,False
INT000878,APP003264,1,2025-02-01,2025-02-01,Video,Hiring Manager,3.4,Proceed,False
INT000879,APP003265,1,2025-02-13,2025-02-13,On-site,Hiring Manager,3.2,Hold,False
INT000880,APP003265,2,2025-02-20,2025-02-20,On-site,Panel,3.6,Proceed,False
INT000881,APP003267,1,2025-12-19,2025-12-19,Video,Hiring Manager,4.0,Proceed,False
INT000882,APP003273,1,2024-12-10,2024-12-10,Phone,Hiring Manager,,Proceed,False
INT000883,APP003278,1,2025-01-24,2025-01-24,Video,Hiring Manager,2.4,Reject,False
INT000884,APP003278,2,2025-02-04,2025-02-04,On-site,Panel,3.2,Hold,False
INT000885,APP003284,1,2025-04-05,2025-04-05,On-site,Hiring Manager,3.3,Hold,False
INT000886,APP003285,1,2024-04-23,2024-04-23,On-site,Hiring Manager,3.7,Proceed,False
INT000887,APP003290,1,2025-12-08,2025-12-08,Video,Hiring Manager,3.6,Proceed,False
INT000888,APP003299,1,2025-03-09,2025-03-09,Video,Hiring Manager,3.8,Proceed,False
INT000889,APP003303,1,2024-06-23,2024-06-23,Video,Hiring Manager,2.7,Reject,False
INT000890,APP003305,1,2024-10-06,2024-10-06,Video,Hiring Manager,4.3,Proceed,False
INT000891,APP003308,1,2025-04-01,2025-04-01,On-site,Hiring Manager,3.0,Hold,False
INT000892,APP003308,2,2025-04-05,2025-04-05,On-site,Panel,3.3,Proceed,False
INT000893,APP003314,1,2024-04-18,2024-04-18,On-site,Hiring Manager,2.5,Reject,False
INT000894,APP003340,1,2025-11-27,2025-11-27,Phone,Hiring Manager,3.7,Proceed,False
INT000895,APP003340,2,2025-12-01,2025-12-01,On-site,Panel,3.6,Proceed,False
INT000896,APP003344,1,2025-06-01,2025-06-01,Video,Hiring Manager,4.4,Proceed,False
INT000897,APP003344,2,2025-06-09,2025-06-09,Video,Panel,5.0,Proceed,False
INT000898,APP003346,1,2024-12-14,2024-12-14,Phone,Hiring Manager,3.5,Proceed,False
INT000899,APP003350,1,2025-03-05,2025-03-05,On-site,Hiring Manager,3.7,Proceed,False
INT000900,APP003352,1,2025-04-02,2025-04-02,Phone,Hiring Manager,3.2,Hold,False
INT000901,APP003359,1,2024-12-06,2024-12-06,Video,Hiring Manager,4.3,Proceed,False
INT000902,APP003365,1,2025-04-29,2025-04-29,Video,Hiring Manager,2.8,Hold,False
INT000903,APP003366,1,2024-12-17,2024-12-17,Video,Hiring Manager,3.2,Hold,False
INT000904,APP003366,2,2024-12-24,2024-12-24,Video,Panel,3.9,Proceed,False
INT000905,APP003368,1,2024-12-14,2024-12-14,On-site,Hiring Manager,3.0,Hold,False
INT000906,APP003373,1,2025-04-05,2025-04-05,Video,Hiring Manager,3.7,Proceed,False
INT000907,APP003382,1,2025-09-05,2025-09-05,Phone,Hiring Manager,4.2,Proceed,False
INT000908,APP003393,1,2025-05-09,2025-05-09,Video,Hiring Manager,3.5,Proceed,False
INT000909,APP003393,2,2025-05-14,2025-05-14,On-site,Panel,3.9,Proceed,False
INT000910,APP003399,1,2025-01-27,2025-01-27,On-site,Hiring Manager,2.6,Reject,False
INT000911,APP003401,1,2025-02-16,2025-02-16,Video,Hiring Manager,3.8,Proceed,False
INT000912,APP003404,1,2024-11-14,2024-11-14,Video,Hiring Manager,4.4,Proceed,False
INT000913,APP003404,2,2024-11-24,2024-11-24,On-site,Panel,4.4,Proceed,False
INT000914,APP003406,1,2024-12-28,2024-12-28,Phone,Hiring Manager,2.2,Reject,False
INT000915,APP003411,1,2024-07-15,2024-07-15,On-site,Hiring Manager,3.6,Proceed,False
INT000916,APP003412,1,2025-07-16,2025-07-16,On-site,Hiring Manager,3.4,Proceed,False
INT000917,APP003437,1,2025-02-22,2025-02-22,On-site,Hiring Manager,3.1,Hold,False
INT000918,APP003443,1,2025-12-21,2025-12-21,Video,Hiring Manager,2.5,Reject,False
INT000919,APP003445,1,2025-05-16,2025-05-16,Video,Hiring Manager,2.7,Reject,False
INT000920,APP003448,1,2025-07-20,2025-07-20,Video,Hiring Manager,2.8,Hold,False
INT000921,APP003449,1,2025-04-17,2025-04-17,Video,Hiring Manager,4.1,Proceed,False
INT000922,APP003452,1,2025-04-23,2025-04-23,Video,Hiring Manager,4.6,Proceed,False
INT000923,APP003452,2,2025-04-28,2025-04-28,Video,Panel,4.8,Proceed,False
INT000924,APP003454,1,2024-06-26,2024-06-26,Video,Hiring Manager,3.2,Hold,False
INT000925,APP003454,2,2024-07-06,2024-07-06,On-site,Panel,4.4,Proceed,False
INT000926,APP003456,1,2025-07-30,2025-07-30,On-site,Hiring Manager,4.3,Proceed,False
INT000927,APP003457,1,2025-07-12,2025-07-12,Phone,Hiring Manager,4.9,Proceed,False
INT000928,APP003457,2,2025-07-23,2025-07-23,On-site,Panel,5.0,Proceed,False
INT000929,APP003459,1,2024-05-03,2024-05-03,Video,Hiring Manager,3.9,Proceed,False
INT000930,APP003460,1,2025-03-15,2025-03-15,Video,Hiring Manager,2.6,Reject,False
INT000931,APP003463,1,2024-11-01,2024-11-01,Video,Hiring Manager,3.3,Hold,False
INT000932,APP003470,1,2025-01-23,2025-01-23,Video,Hiring Manager,3.7,Proceed,False
INT000933,APP003471,1,2025-11-25,2025-11-25,On-site,Hiring Manager,2.7,Reject,False
INT000934,APP003473,1,2024-08-17,2024-08-17,Video,Hiring Manager,3.9,Proceed,False
INT000935,APP003508,1,2024-08-01,2024-08-01,Video,Hiring Manager,4.2,Proceed,False
INT000936,APP003515,1,2025-04-04,2025-04-04,Video,Hiring Manager,2.4,Reject,False
INT000937,APP003517,1,2024-11-09,2024-11-09,On-site,Hiring Manager,3.6,Proceed,False
INT000938,APP003518,1,2024-11-09,2024-11-09,Video,Hiring Manager,4.4,Proceed,False
INT000939,APP003520,1,2025-08-16,2025-08-16,Video,Hiring Manager,4.0,Proceed,False
INT000940,APP003522,1,2025-11-18,2025-11-18,Video,Hiring Manager,4.4,Proceed,False
INT000941,APP003536,1,2025-10-24,2025-10-24,On-site,Hiring Manager,4.0,Proceed,False
INT000942,APP003536,2,2025-10-29,2025-10-29,Video,Panel,4.1,Proceed,False
INT000943,APP003538,1,2024-11-07,2024-11-07,On-site,Hiring Manager,4.6,Proceed,False
INT000944,APP003539,1,2025-02-04,2025-02-04,Video,Hiring Manager,2.8,Hold,False
INT000945,APP003542,1,2025-08-21,2025-08-21,On-site,Hiring Manager,3.5,Proceed,False
INT000946,APP003549,1,2024-07-19,2024-07-19,On-site,Hiring Manager,4.6,Proceed,False
INT000947,APP003570,1,2025-06-15,2025-06-15,Phone,Hiring Manager,3.7,Proceed,False
INT000948,APP003577,1,2025-10-13,2025-10-13,Video,Hiring Manager,3.1,Hold,False
INT000949,APP003578,1,2024-05-05,2024-05-05,Video,Hiring Manager,3.0,Hold,False
INT000950,APP003579,1,2025-11-03,2025-11-03,Video,Hiring Manager,3.1,Hold,False
INT000951,APP003580,1,2024-06-05,2024-06-05,Video,Hiring Manager,4.9,Proceed,False
INT000952,APP003583,1,2025-07-20,2025-07-20,Phone,Hiring Manager,3.6,Proceed,False
INT000953,APP003596,1,2025-04-11,2025-04-11,On-site,Hiring Manager,3.9,Proceed,False
INT000954,APP003598,1,2025-03-29,2025-03-29,On-site,Hiring Manager,3.7,Proceed,False
INT000955,APP003604,1,2025-06-01,2025-06-01,On-site,Hiring Manager,2.9,Hold,False
INT000956,APP003605,1,2025-01-23,2025-01-23,Video,Hiring Manager,3.8,Proceed,False
INT000957,APP003606,1,2024-12-15,2024-12-15,On-site,Hiring Manager,5.0,Proceed,False
INT000958,APP003609,1,2024-08-17,2024-08-17,On-site,Hiring Manager,5.0,Proceed,False
INT000959,APP003611,1,2024-08-09,2024-08-09,Video,Hiring Manager,3.7,Proceed,False
INT000960,APP003613,1,2024-06-04,2024-06-04,On-site,Hiring Manager,2.0,Reject,False
INT000961,APP003614,1,2025-05-06,2025-05-06,Phone,Hiring Manager,2.9,Hold,False
INT000962,APP003623,1,2025-01-19,2025-01-19,On-site,Hiring Manager,3.0,Hold,False
INT000963,APP003627,1,2025-06-27,2025-06-27,On-site,Hiring Manager,3.0,Hold,False
INT000964,APP003633,1,2025-04-03,2025-04-03,Video,Hiring Manager,1.8,Reject,False
INT000965,APP003636,1,2025-09-16,2025-09-16,Video,Hiring Manager,3.4,Proceed,False
INT000966,APP003645,1,2024-03-09,2024-03-09,Video,Hiring Manager,4.4,Proceed,False
INT000967,APP003648,1,2025-01-24,2025-01-24,On-site,Hiring Manager,3.3,Hold,False
INT000968,APP003656,1,2024-06-07,2024-06-07,On-site,Hiring Manager,3.7,Proceed,False
INT000969,APP003658,1,2024-09-24,2024-09-24,On-site,Hiring Manager,2.8,Hold,False
INT000970,APP003662,1,2024-04-24,2024-04-24,On-site,Hiring Manager,3.6,Proceed,False
INT000971,APP003664,1,2025-04-16,2025-04-16,On-site,Hiring Manager,3.8,Proceed,False
INT000972,APP003665,1,2025-10-06,2025-10-06,Video,Hiring Manager,,Proceed,False
INT000973,APP003668,1,2024-11-30,2024-11-30,Video,Hiring Manager,5.0,Proceed,False
INT000974,APP003668,2,2024-12-08,2024-12-08,On-site,Panel,5.0,Proceed,False
INT000975,APP003672,1,2024-11-02,2024-11-02,On-site,Hiring Manager,4.1,Proceed,False
INT000976,APP003676,1,2024-10-07,2024-10-07,Video,Hiring Manager,4.4,Proceed,False
INT000977,APP003676,2,2024-10-17,2024-10-17,On-site,Panel,4.8,Proceed,False
INT000978,APP003678,1,2024-09-24,2024-09-24,Video,Hiring Manager,3.3,Hold,False
INT000979,APP003681,1,2025-04-08,2025-04-08,Video,Hiring Manager,2.2,Reject,False
INT000980,APP003683,1,2025-10-07,2025-10-07,Video,Hiring Manager,3.1,Hold,False
INT000981,APP003685,1,2025-08-19,2025-08-19,On-site,Hiring Manager,3.7,Proceed,False
INT000982,APP003687,1,2025-04-04,2025-04-04,On-site,Hiring Manager,2.1,Reject,False
INT000983,APP003689,1,2024-09-10,2024-09-10,Video,Hiring Manager,3.8,Proceed,False
INT000984,APP003692,1,2024-09-24,2024-09-24,On-site,Hiring Manager,3.0,Hold,False
INT000985,APP003699,1,2024-06-18,2024-06-18,On-site,Hiring Manager,2.5,Reject,False
INT000986,APP003704,1,2025-11-27,2025-11-27,Video,Hiring Manager,3.7,Proceed,False
INT000987,APP003704,2,2025-12-01,2025-12-01,On-site,Panel,3.6,Proceed,False
INT000988,APP003707,1,2024-08-10,2024-08-10,On-site,Hiring Manager,2.8,Hold,False
INT000989,APP003710,1,2025-08-31,2025-08-31,Phone,Hiring Manager,3.4,Proceed,False
INT000990,APP003711,1,2024-05-02,2024-05-02,Video,Hiring Manager,3.5,Proceed,False
INT000991,APP003718,1,2025-04-11,2025-04-11,Video,Hiring Manager,4.3,Proceed,False
INT000992,APP003718,2,2025-04-19,2025-04-19,On-site,Panel,4.3,Proceed,False
INT000993,APP003720,1,2024-01-28,2024-01-28,Video,Hiring Manager,1.8,Reject,False
INT000994,APP003720,2,2024-02-01,2024-02-01,On-site,Panel,2.0,Hold,False
INT000995,APP003725,1,2026-01-02,2026-01-02,Video,Hiring Manager,3.3,Hold,False
INT000996,APP003746,1,2024-08-23,2024-08-16,Video,Hiring Manager,2.5,Reject,False
INT000997,APP003746,2,2024-08-31,2024-08-31,On-site,Panel,2.2,Hold,False
INT000998,APP003749,1,2024-10-17,2024-10-17,On-site,Hiring Manager,2.9,Hold,False
INT000999,APP003756,1,2024-12-30,2024-12-30,On-site,Hiring Manager,3.5,Proceed,False
INT001000,APP003757,1,2025-02-23,2025-02-23,Video,Hiring Manager,2.5,Reject,False
INT001001,APP003758,1,2024-02-26,2024-02-26,Video,Hiring Manager,2.8,Hold,False
INT001002,APP003766,1,2024-08-23,2024-08-23,On-site,Hiring Manager,2.6,Reject,False
INT001003,APP003769,1,2024-06-16,2024-06-16,Video,Hiring Manager,3.0,Hold,False
INT001004,APP003774,1,2025-03-13,2025-03-13,Video,Hiring Manager,2.7,Reject,False
INT001005,APP003774,2,2025-03-17,2025-03-17,On-site,Panel,3.4,Proceed,False
INT001006,APP003775,1,2024-12-23,2024-12-23,On-site,Hiring Manager,5.0,Proceed,False
INT001007,APP003779,1,2025-03-07,2025-03-07,Video,Hiring Manager,3.1,Hold,False
INT001008,APP003785,1,2025-02-18,2025-02-18,Phone,Hiring Manager,3.7,Proceed,False
INT001009,APP003789,1,2025-11-15,2025-11-15,Video,Hiring Manager,3.0,Hold,False
INT001010,APP003794,1,2024-04-07,2024-04-07,On-site,Hiring Manager,4.7,Proceed,False
INT001011,APP003794,2,2024-04-14,2024-04-14,Video,Panel,5.0,Proceed,False
INT001012,APP003796,1,2024-11-24,2024-11-24,Video,Hiring Manager,4.1,Proceed,False
INT001013,APP003797,1,2025-04-04,2025-04-04,On-site,Hiring Manager,3.6,Proceed,False
INT001014,APP003802,1,2025-04-19,2025-04-19,Phone,Hiring Manager,1.7,Reject,False
INT001015,APP003814,1,2025-04-30,2025-04-30,Video,Hiring Manager,3.4,Proceed,False
INT001016,APP003816,1,2024-09-23,2024-09-23,Video,Hiring Manager,3.5,Proceed,False
INT001017,APP003818,1,2025-04-15,2025-04-15,On-site,Hiring Manager,4.3,Proceed,False
INT001018,APP003819,1,2025-06-05,2025-06-05,Video,Hiring Manager,3.0,Hold,False
INT001019,APP003827,1,2024-05-31,2024-05-31,Video,Hiring Manager,4.0,Proceed,False
INT001020,APP003831,1,2025-06-08,2025-06-08,Video,Hiring Manager,2.3,Reject,False
INT001021,APP003834,1,2025-05-29,2025-05-29,Video,Hiring Manager,4.6,Proceed,False
INT001022,APP003840,1,2024-08-20,2024-08-20,On-site,Hiring Manager,2.8,Hold,False
INT001023,APP003841,1,2025-07-12,2025-07-12,On-site,Hiring Manager,3.9,Proceed,False
INT001024,APP003847,1,2025-01-05,2025-01-05,On-site,Hiring Manager,4.4,Proceed,False
INT001025,APP003847,2,2025-01-14,2025-01-14,On-site,Panel,4.6,Proceed,False
INT001026,APP003860,1,2025-02-22,2025-02-22,On-site,Hiring Manager,3.3,Hold,False
INT001027,APP003862,1,2025-04-03,2025-04-03,Video,Hiring Manager,3.4,Proceed,False
INT001028,APP003864,1,2025-12-01,2025-12-01,On-site,Hiring Manager,3.0,Hold,False
INT001029,APP003868,1,2025-03-29,2025-03-29,Video,Hiring Manager,3.3,Hold,False
INT001030,APP003871,1,2024-03-14,2024-03-14,On-site,Hiring Manager,2.3,Reject,False
INT001031,APP003877,1,2025-10-14,2025-10-14,Video,Hiring Manager,2.9,Hold,False
INT001032,APP003878,1,2025-09-20,2025-09-20,Video,Hiring Manager,5.0,Proceed,False
INT001033,APP003880,1,2025-07-05,2025-07-05,Video,Hiring Manager,3.8,Proceed,False
INT001034,APP003883,1,2024-03-29,2024-03-29,On-site,Hiring Manager,3.8,Proceed,False
INT001035,APP003884,1,2025-07-26,2025-07-26,Video,Hiring Manager,3.6,Proceed,False
INT001036,APP003886,1,2025-10-18,2025-10-18,Phone,Hiring Manager,4.2,Proceed,False
INT001037,APP003892,1,2025-07-22,2025-07-22,Video,Hiring Manager,3.2,Hold,False
INT001038,APP003898,1,2024-07-07,2024-07-07,Video,Hiring Manager,3.5,Proceed,False
INT001039,APP003910,1,2025-05-23,2025-05-23,Video,Hiring Manager,3.6,Proceed,False
INT001040,APP003915,1,2024-06-07,2024-06-07,Phone,Hiring Manager,3.9,Proceed,False
INT001041,APP003915,2,2024-06-14,2024-06-14,Video,Panel,4.8,Proceed,False
INT001042,APP003922,1,2025-06-03,2025-06-03,Video,Hiring Manager,2.7,Reject,False
INT001043,APP003923,1,2024-07-30,2024-07-30,On-site,Hiring Manager,2.5,Reject,False
INT001044,APP003928,1,2024-11-19,2024-11-19,On-site,Hiring Manager,4.1,Proceed,False
INT001045,APP003938,1,2025-09-29,2025-09-29,Phone,Hiring Manager,3.1,Hold,False
INT001046,APP003941,1,2025-02-15,2025-02-15,Video,Hiring Manager,2.3,Reject,False
INT001047,APP003945,1,2025-10-08,2025-10-08,On-site,Hiring Manager,5.0,Proceed,False
INT001048,APP003946,1,2025-07-05,2025-07-05,On-site,Hiring Manager,4.7,Proceed,False
INT001049,APP003946,2,2025-07-13,2025-07-13,On-site,Panel,5.0,Proceed,False
INT001050,APP003962,1,2025-02-20,2025-02-20,Phone,Hiring Manager,4.9,Proceed,False
INT001051,APP003969,1,2025-04-11,2025-04-11,On-site,Hiring Manager,3.2,Hold,False
INT001052,APP003972,1,2025-01-19,2025-01-19,Phone,Hiring Manager,3.2,Hold,False
INT001053,APP003981,1,2024-08-02,2024-08-02,Video,Hiring Manager,2.1,Reject,False
INT001054,APP003983,1,2025-11-15,2025-11-15,On-site,Hiring Manager,5.0,Proceed,False
INT001055,APP003989,1,2024-06-07,2024-06-07,On-site,Hiring Manager,4.5,Proceed,False
INT001056,APP003990,1,2024-11-25,2024-11-25,Video,Hiring Manager,4.4,Proceed,False
INT001057,APP003999,1,2025-05-22,2025-05-22,Video,Hiring Manager,2.6,Reject,False
INT001058,APP003999,2,2025-05-31,2025-05-31,Video,Panel,2.2,Hold,False
INT001059,APP004004,1,2025-07-22,2025-07-22,Video,Hiring Manager,3.3,Hold,False
INT001060,APP004006,1,2024-12-09,2024-12-09,Video,Hiring Manager,3.8,Proceed,False
INT001061,APP004011,1,2026-01-04,2026-01-04,Video,Hiring Manager,3.5,Proceed,False
INT001062,APP004012,1,2024-04-26,2024-04-26,Video,Hiring Manager,3.3,Hold,False
INT001063,APP004013,1,2024-11-12,2024-11-12,Phone,Hiring Manager,3.6,Proceed,False
INT001064,APP004016,1,2025-05-06,2025-05-06,Video,Hiring Manager,4.2,Proceed,False
INT001065,APP004025,1,2024-10-02,2024-10-02,Phone,Hiring Manager,2.4,Reject,False
INT001066,APP004027,1,2024-10-19,2024-10-19,Video,Hiring Manager,3.0,Hold,False
INT001067,APP004035,1,2025-07-20,2025-07-20,On-site,Hiring Manager,3.2,Hold,False
INT001068,APP004037,1,2024-04-18,2024-04-18,Phone,Hiring Manager,4.8,Proceed,False
INT001069,APP004039,1,2024-11-14,2024-11-14,Video,Hiring Manager,2.0,Reject,False
INT001070,APP004053,1,2025-11-14,2025-11-14,On-site,Hiring Manager,2.5,Reject,False
INT001071,APP004056,1,2025-08-18,2025-08-18,On-site,Hiring Manager,2.8,Hold,False
INT001072,APP004056,2,2025-08-22,2025-08-22,On-site,Panel,1.9,Hold,False
INT001073,APP004064,1,2024-06-09,2024-06-09,On-site,Hiring Manager,3.0,Hold,False
INT001074,APP004067,1,2025-10-01,2025-10-01,On-site,Hiring Manager,2.9,Hold,False
INT001075,APP004067,2,2025-10-11,2025-10-11,On-site,Panel,2.9,Hold,False
INT001076,APP004071,1,2025-01-25,2025-01-25,On-site,Hiring Manager,2.3,Reject,False
INT001077,APP004076,1,2025-03-19,2025-03-19,Phone,Hiring Manager,3.4,Proceed,False
INT001078,APP004085,1,2025-07-02,2025-07-02,On-site,Hiring Manager,1.6,Reject,False
INT001079,APP004092,1,2024-12-12,2024-12-12,Phone,Hiring Manager,3.5,Proceed,False
INT001080,APP004092,2,2024-12-21,2024-12-21,On-site,Panel,4.3,Proceed,False
INT001081,APP004095,1,2024-08-29,2024-08-17,On-site,Hiring Manager,3.6,Proceed,False
INT001082,APP004101,1,2025-02-19,2025-02-19,Video,Hiring Manager,3.3,Hold,False
INT001083,APP004107,1,2025-08-19,2025-08-19,Video,Hiring Manager,3.2,Hold,False
INT001084,APP004108,1,2025-11-19,2025-11-19,Video,Hiring Manager,4.1,Proceed,False
INT001085,APP004111,1,2024-04-04,2024-04-04,On-site,Hiring Manager,4.5,Proceed,False
INT001086,APP004111,2,2024-04-09,2024-04-09,On-site,Panel,4.8,Proceed,False
INT001087,APP004112,1,2025-07-06,2025-07-06,Video,Hiring Manager,3.3,Hold,False
INT001088,APP004127,1,2025-02-08,2025-02-08,Video,Hiring Manager,3.1,Hold,False
INT001089,APP004129,1,2025-07-10,2025-07-10,On-site,Hiring Manager,4.2,Proceed,False
INT001090,APP004130,1,2025-06-18,2025-06-18,Video,Hiring Manager,2.7,Reject,False
INT001091,APP004137,1,2025-05-18,2025-05-18,Video,Hiring Manager,4.4,Proceed,False
INT001092,APP004151,1,2024-08-01,2024-08-01,On-site,Hiring Manager,5.0,Proceed,False
INT001093,APP004154,1,2025-02-11,2025-02-11,Video,Hiring Manager,2.6,Reject,False
INT001094,APP004160,1,2025-09-26,2025-09-26,Video,Hiring Manager,4.6,Proceed,False
INT001095,APP004167,1,2024-08-11,2024-08-11,On-site,Hiring Manager,4.5,Proceed,False
INT001096,APP004181,1,2025-08-24,2025-08-24,Video,Hiring Manager,4.7,Proceed,False
INT001097,APP004186,1,2024-12-28,2024-12-28,Video,Hiring Manager,3.0,Hold,False
INT001098,APP004188,1,2024-06-03,2024-06-03,On-site,Hiring Manager,5.0,Proceed,False
INT001099,APP004189,1,2025-06-15,2025-06-15,On-site,Hiring Manager,3.0,Hold,False
INT001100,APP004200,1,2025-12-11,2025-12-11,Video,Hiring Manager,3.5,Proceed,False
INT001101,APP004209,1,2025-04-28,2025-04-28,On-site,Hiring Manager,3.2,Hold,False
INT001102,APP004211,1,2024-08-17,2024-08-17,Phone,Hiring Manager,2.8,Hold,False
INT001103,APP004212,1,2024-03-30,2024-03-30,On-site,Hiring Manager,2.8,Hold,False
INT001104,APP004215,1,2024-07-07,2024-07-07,Video,Hiring Manager,3.2,Hold,False
INT001105,APP004228,1,2024-07-26,2024-07-26,Video,Hiring Manager,3.4,Proceed,False
INT001106,APP004228,2,2024-08-02,2024-08-02,On-site,Panel,3.1,Hold,False
INT001107,APP004236,1,2025-01-25,2025-01-25,Video,Hiring Manager,2.7,Reject,False
INT001108,APP004239,1,2024-09-07,2024-09-07,Video,Hiring Manager,4.5,Proceed,False
INT001109,APP004250,1,2025-10-24,2025-10-24,Video,Hiring Manager,2.8,Hold,False
INT001110,APP004260,1,2024-05-17,2024-05-17,Phone,Hiring Manager,5.0,Proceed,False
INT001111,APP004263,1,2025-07-16,2025-07-16,Video,Hiring Manager,3.2,Hold,False
INT001112,APP004268,1,2025-05-13,2025-05-13,On-site,Hiring Manager,4.2,Proceed,False
INT001113,APP004281,1,2025-10-10,2025-10-10,Phone,Hiring Manager,4.2,Proceed,False
INT001114,APP004282,1,2025-03-16,2025-03-16,Phone,Hiring Manager,2.9,Hold,False
INT001115,APP004288,1,2024-02-19,2024-02-19,Video,Hiring Manager,4.0,Proceed,False
INT001116,APP004291,1,2024-06-01,2024-06-01,On-site,Hiring Manager,3.2,Hold,False
INT001117,APP004297,1,2024-06-26,2024-06-26,Video,Hiring Manager,3.6,Proceed,False
INT001118,APP004300,1,2025-04-12,2025-04-12,Video,Hiring Manager,4.0,Proceed,False
INT001119,APP004303,1,2024-04-13,2024-04-13,Phone,Hiring Manager,4.5,Proceed,False
INT001120,APP004303,2,2024-04-24,2024-04-24,Video,Panel,4.7,Proceed,False
INT001121,APP004310,1,2025-12-05,2025-12-05,Video,Hiring Manager,3.6,Proceed,False
INT001122,APP004310,2,2025-12-13,2025-12-13,On-site,Panel,4.1,Proceed,False
INT001123,APP004311,1,2025-07-17,2025-07-17,Video,Hiring Manager,4.0,Proceed,False
INT001124,APP004311,2,2025-07-28,2025-07-28,Video,Panel,3.2,Hold,False
INT001125,APP004312,1,2025-10-07,2025-10-07,Phone,Hiring Manager,1.6,Reject,False
INT001126,APP004316,1,2024-11-24,2024-11-24,On-site,Hiring Manager,2.5,Reject,False
INT001127,APP004318,1,2025-02-06,2025-02-06,Video,Hiring Manager,2.3,Reject,False
INT001128,APP004321,1,2025-07-03,2025-07-03,On-site,Hiring Manager,3.3,Hold,False
INT001129,APP004322,1,2024-09-12,2024-09-12,Video,Hiring Manager,1.8,Reject,False
INT001130,APP004324,1,2025-04-29,2025-04-29,Video,Hiring Manager,3.6,Proceed,False
INT001131,APP004325,1,2025-04-28,2025-04-28,On-site,Hiring Manager,3.8,Proceed,False
INT001132,APP004331,1,2024-02-11,2024-02-11,On-site,Hiring Manager,3.2,Hold,False
INT001133,APP004334,1,2024-04-24,2024-04-24,Video,Hiring Manager,3.8,Proceed,False
INT001134,APP004338,1,2024-07-03,2024-07-03,Video,Hiring Manager,4.1,Proceed,False
INT001135,APP004346,1,2025-02-10,2025-02-10,On-site,Hiring Manager,3.6,Proceed,False
INT001136,APP004348,1,2024-12-29,2024-12-29,On-site,Hiring Manager,5.0,Proceed,False
INT001137,APP004348,2,2025-01-07,2025-01-07,On-site,Panel,5.0,Proceed,False
INT001138,APP004352,1,2024-06-16,2024-06-16,On-site,Hiring Manager,2.0,Reject,False
INT001139,APP004352,2,2024-06-21,2024-06-21,On-site,Panel,2.1,Hold,False
INT001140,APP004360,1,2025-08-02,2025-08-02,Video,Hiring Manager,5.0,Proceed,False
INT001141,APP004367,1,2025-11-21,2025-11-21,Video,Hiring Manager,2.9,Hold,False
INT001142,APP004375,1,2025-02-09,2025-02-09,On-site,Hiring Manager,3.5,Proceed,False
INT001143,APP004381,1,2024-08-17,2024-08-17,Video,Hiring Manager,3.9,Proceed,False
INT001144,APP004382,1,2024-12-03,2024-12-03,On-site,Hiring Manager,2.9,Hold,False
INT001145,APP004386,1,2025-09-11,2025-09-11,Video,Hiring Manager,2.7,Reject,False
INT001146,APP004387,1,2024-11-09,2024-11-09,On-site,Hiring Manager,4.7,Proceed,False
INT001147,APP004400,1,2024-07-17,2024-07-17,Video,Hiring Manager,4.2,Proceed,False
INT001148,APP004413,1,2024-09-22,2024-09-22,Video,Hiring Manager,4.4,Proceed,False
INT001149,APP004426,1,2025-08-24,2025-08-24,On-site,Hiring Manager,4.6,Proceed,False
INT001150,APP004427,1,2025-04-05,2025-04-05,Video,Hiring Manager,2.6,Reject,False
INT001151,APP004434,1,2025-04-04,2025-04-04,Video,Hiring Manager,4.3,Proceed,False
INT001152,APP004436,1,2024-04-05,2024-04-05,Video,Hiring Manager,2.0,Reject,False
INT001153,APP004441,1,2025-08-12,2025-08-12,Video,Hiring Manager,2.0,Reject,False
INT001154,APP004444,1,2025-03-30,2025-03-30,Video,Hiring Manager,4.0,Proceed,False
INT001155,APP004447,1,2024-07-20,2024-07-20,Video,Hiring Manager,4.5,Proceed,False
INT001156,APP004464,1,2025-03-15,2025-03-15,Video,Hiring Manager,2.6,Reject,False
INT001157,APP004465,1,2025-06-05,2025-06-05,Video,Hiring Manager,3.2,Hold,False
